# Mie Scattering                # Version 2-6-2 (02:02:41 10/01/19)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.33000	 [---]         (refractive index of medium)
# n_real     	  0.18000	 [---]         (refractive index of sphere)
# n_imag     	 -5.13000	 [---]         (absorption of sphere)
# lambda_vac 	  0.80000	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  0.60150	 [microns]     (wavelength in medium)
# X          	  0.52229	 [---]         (size parameter)
# g          	 -0.05198	 [---]         (average cosine of phase function)
# Qsca       	  0.44414	 [---]         (scattering efficiency)
# Qext       	  0.51773	 [---]         (extinction efficiency)
# Qback      	  0.72332	 [---]         (backscattering efficiency)
# Csca       	0.0034883	 [micron^2]    (scattering cross section)
# Cext       	0.0040662	 [micron^2]    (extinction cross section)
# Cback      	 0.005681	 [micron^2]    (backscattering cross section)
# mu_s       	  0.34883	 [1/mm]        (scattering coefficient)
# mu_s'      	  0.36696	 [1/mm]        (reduced scattering coefficient)
# mu_t       	  0.40662	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/2*1/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.12936	 0.12958	 0.12914	 0.99817	 0.99984	 0.99650	 0.00168	-1.00000	 0.00006
-172.800	 0.12865	 0.12952	 0.12779	 0.99270	 0.99937	 0.98603	 0.00672	-0.99998	 0.00023
-169.200	 0.12748	 0.12942	 0.12555	 0.98367	 0.99859	 0.96874	 0.01517	-0.99988	 0.00052
-165.600	 0.12586	 0.12927	 0.12245	 0.97118	 0.99750	 0.94487	 0.02709	-0.99963	 0.00094
-162.000	 0.12382	 0.12909	 0.11855	 0.95542	 0.99610	 0.91475	 0.04257	-0.99909	 0.00147
-158.400	 0.12138	 0.12887	 0.11389	 0.93658	 0.99440	 0.87877	 0.06173	-0.99809	 0.00213
-154.800	 0.11857	 0.12861	 0.10853	 0.91492	 0.99240	 0.83744	 0.08468	-0.99640	 0.00292
-151.200	 0.11544	 0.12832	 0.10256	 0.89073	 0.99012	 0.79133	 0.11159	-0.99375	 0.00384
-147.600	 0.11201	 0.12799	 0.09604	 0.86431	 0.98756	 0.74107	 0.14259	-0.98977	 0.00490
-144.000	 0.10835	 0.12762	 0.08908	 0.83604	 0.98473	 0.68736	 0.17784	-0.98404	 0.00611
-140.400	 0.10449	 0.12722	 0.08177	 0.80629	 0.98163	 0.63095	 0.21747	-0.97604	 0.00746
-136.800	 0.10050	 0.12679	 0.07421	 0.77545	 0.97829	 0.57262	 0.26157	-0.96514	 0.00896
-133.200	 0.09642	 0.12632	 0.06651	 0.74396	 0.97471	 0.51320	 0.31017	-0.95062	 0.01062
-129.600	 0.09230	 0.12583	 0.05878	 0.71222	 0.97090	 0.45354	 0.36321	-0.93163	 0.01241
-126.000	 0.08822	 0.12531	 0.05112	 0.68068	 0.96689	 0.39447	 0.42047	-0.90719	 0.01435
